name,height,diameter,opened,closed,country,location,number_of_cabins,passengers_per_cabin,seating_capacity,hourly_capacity,ride_duration_minutes,climate_controlled,construction_cost,status,design_manufacturer,type,vip_area,ticket_cost_to_ride,official_website,turns
Star of Nanchang,525,504.9,5/5/06,NA,China,Nanchang; Jiangxi,60,8,480,960,30,Yes,$7.3 million USD,Operating,Nanchang Star Entertainment Limited,Fixed,NA,8.16,http://nczx.txjly.com/,NA
Niagara SkyWheel,175,166.65,6/17/06,NA,Canada,Clifton Hills; Niagara Falls,42,8,336,2016,10,Yes,$10 million USD,Operating,Chance,Fixed,NA,$10.99+tax for Adults and $6.99+tax for Children,http://www.cliftonhill.com/attractions/niagara-skywheel,3
Belfast Wheel,199.8,NA,1/1/07,NA,Ireland,Belfast,42,8,336,1550,13,Yes,$13 million USD,Defunct,World Tourist Attractions,Transportable,Yes,Adults – 13; VIP – 110 & 140,http://www.belfastcity.gov.uk/cityhall/bigwheel.asp,1
Eye on Malaysia (1),197,NA,1/6/07,NA,Malaysia,Kuala Lumpur (Malacca Island),42,8,336,1680,12,NA,$9.89 million USD,Defunct,Fitraco NV,Transportable,NA,Adults – 4.94; Children – 2.64,NA,NA
Kaohsiung Eye,336,160,5/12/07,NA,Taiwan,Dream Mall; Kaohsiung,36,NA,NA,NA,15,NA,$6.68 million USD,Operating,Tungcheng Development Corporation,NA,NA,5,http://www.dream-mall.com.tw/,NA
The Pacific Wheel,130,NA,1/1/08,NA,USA,Santa Monica; California,NA,NA,NA,NA,NA,No,$1.5 million USD,Operating,Chance Morgan Rides,Fixed,NA,5,http://www.pacpark.com/rides.php?location=rides&navheight=short,NA
Star of Lake Tai,377,364,1/1/08,NA,China,Lake Tai; Wuxi; Jiangsu,64,6,384,NA,18,NA,$20 million USD,Operating,Japanese Quanyang Kogyo Co. Ltd.,NA,NA,NA,NA,NA
The Southern Star,394,NA,1/1/08,NA,Australia,Waterfront City; Melbourne,21,20,420,840,30,Yes,$100 million USD,SBNO,NA,Fixed,NA,Adults – 27.99 Children – 16.41,http://www.thesouthernstar.com.au/,NA
Wheel of Brisbane,200,NA,1/1/08,NA,Australia,Brisbane; Australia,42,8,336,1680,12,Yes,Unknown,NA,Ronald Bussink/World Tourist Attractions,Transportable,NA,NA,http://thewheelofbrisbane.com.au/,NA
Singapore Flyer,541,492,4/15/08,NA,Singapore,Marina Centre; Downtown Core,28,28,784,1568,30,Yes,$180 million USD,Operating,DP Architects,Fixed,Yes,Adults – 26.05 Children – 16.58,http://www.singaporeflyer.com/,NA
Wheel of Perth,164,NA,1/1/09,NA,Australia,Perth,36,6,216,1296,10,Yes,$10 million USD,NA,World Tourist Attractions,Transportable,Yes,Adults – 15 Children – 10 VIP – 119,NA,3
Tianjin Eye,394,361,4/5/09,NA,China,Yongle Bridge; Tianjin,48,8,384,768,30,Yes,Unknown,Operating,NA,Fixed,NA,11.41,http://www.tianjinzhiyan.com/,NA
Suzhou Ferris Wheel,394,361,5/21/09,NA,China,Suzhou; Jiangsu,60,5,300,900,20,Yes,$45.67 million USD,Operating,NA,Fixed,NA,17.94,http://www.szmtl.net/main.html,NA
Tbilisi Ferris Wheel,262,NA,1/1/10,NA,Georgia,Mtatsminda Park; Tbsilsi,NA,NA,NA,NA,15,NA,Unknown,NA,NA,NA,NA,3.5,NA,NA
Baghdad Eye,180,NA,1/1/11,NA,Iraq,Al-Zawraa Park; Baghdad,40,6,240,960,15,NA,$6 million USD,Operating,NA,NA,NA,3.5,NA,NA
Enclosed Ferris Wheel,190,157,1/1/11,NA,Turkmenistan,Ashgabat,24,6,144,NA,NA,Yes,$90 million USD,Operating,Giant Wheels Fabbri Group,Enclosed,NA,NA,NA,NA
Myrtle Beach Sky Wheel,187,NA,5/20/11,NA,USA,Myrtle Beach; South Carolina,42,6,252,1512,10,Yes,$12 million USD,Operating,Chance,Fixed,Yes,Adults – 13 Children -9 VIP – 50,http://myrtlebeachskywheel.com/,3
Brighton Wheel,160,148,10/24/11,NA,UK,Brighton; United Kingdom,36,8,288,1440,12,Yes,$9 million USD,Operating,Paramount Attractions,Transportable,Yes,NA,http://www.brightonwheel.com/,3
Mall of Asia Eye,180,NA,12/18/11,NA,Phillippines,Mall of Asia; Pasay; Metro Manila,36,6,216,1296,10,Yes,Unknown,Operating,NA,Fixed,Yes,Regular – 3.55 VIP – 5.92,http://www.smstoryland.com/SMBYamusementpark/moa-eye,NA
Seattle Great Wheel,175,NA,6/29/12,NA,USA,Pier 57; Seattle; Washington,42,8,336,1680,12,Yes,$20 million USD,Operating,Chance,Fixed,Yes,Adults – 13 Children – 8.50 VIP – 50,http://www.seattlegreatwheel.com/,3
360 Pensacola Beach,200,NA,7/3/12,1/1/13,USA,Pensacola Beach; Florida,42,6,252,1260,12,Yes,Unknown,Moved,Realty Masters of FL,Transportable,Yes,NA,NA,4
Asiatique Sky,200,200,12/15/12,NA,Tailand,Asiatique the Riverfront,42,NA,NA,NA,NA,Yes,Unknown,Operating,Dutch Wheels (Vekoma),NA,NA,NA,http://www.asiatiquesky.com/,NA
Eye on Malaysia (2),331,NA,1/1/13,NA,Malaysia,Malacca Island,54,6,324,NA,NA,Yes,$13.18 million USD,Under Construction,NA,Fixed,NA,NA,NA,NA
Great Smoky Mountain Skywheel,200,NA,1/1/13,NA,USA,Pigeon Forge; Tennessee,42,8,336,1680,12,Yes,Unknown,Operating,NA,NA,Yes,Adults – 13; Children -9; VIP – 50,http://islandinpigeonforge.com/,4
Helsinki Wheel,165,NA,1/1/13,NA,Finland,South Harbor; Helsinki,36,8,288,NA,NA,Yes,Unknown,Planned,NA,Portable,NA,NA,NA,NA
High Roller,550,520,1/1/13,NA,USA,Las Vegas Strip; Nevada,28,40,1120,2240,30,NA,Unknown,Under Construction,Arup Engineering,NA,NA,25,http://www.caesars.com/thelinq/,NA
